,Code plate-forme,Code gare,Code UIC,Date fin validité plateforme,Intitulé plateforme,Code postal,Code Commune,Commune,Code département,Département,Longitude,Latitude,Segment DRG,Niveau de service,RG,TVSs,SOPs,Gare,Intitulé gare,Intitulé fronton de gare,Gare DRG,Gare étrangère,DTG,Région SNCF,Unité gare,UT,Nbre plateformes,TVS,WGS 84,Verification TGV
1954,00073-1,73,87781278,,Agde,34300.0,3.0,Agde,34.0,Hérault,3.466203,43.31728,b,2.0,GARES B LANGUEDOC ROUSSILLON,"""[{""""TVS_Code"""": """"AGD""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Agde"""", """"Alias_Libelle_Fronton"""": """"Agde"""", """"AgenceGC_Libelle"""": """"DRG Occitanie Sud"""", """"RegionSNCF_Libelle"""": """"REGION LANGUEDOC-ROUSSILLON"""", """"UG_Libelle"""": """"UG Est Occitanie"""", """"UT_Libelle"""": """"AGDE GARE""""}""",Agde,Agde,True,False,DRG Occitanie Sud,REGION LANGUEDOC-ROUSSILLON,UG Est Occitanie,AGDE GARE,1,AGD,"43.31728, 3.466203",horaires
2191,01223-1,1223,87586008,,Agen,47000.0,1.0,Agen,47.0,Lot-et-Garonne,0.620932,44.208311,a,2.0,GARE AGEN,"""[{""""TVS_Code"""": """"AGN""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Agen"""", """"Alias_Libelle_Fronton"""": """"Agen"""", """"AgenceGC_Libelle"""": """"DRG Nlle Aquitaine"""", """"RegionSNCF_Libelle"""": """"REGION POITOU-CHARENTES AQUITAINE"""", """"UG_Libelle"""": """"UG Aquitaine"""", """"UT_Libelle"""": """"AGEN GARE""""}""",Agen,Agen,True,False,DRG Nlle Aquitaine,REGION POITOU-CHARENTES AQUITAINE,UG Aquitaine,AGEN GARE,1,AGN,"44.208311, 0.620932",wikipedia
2018,00391-1,391,87741769,,Aime - La Plagne,73210.0,6.0,Aime-la-Plagne,73.0,Savoie,6.648646,45.5544,c,1.0,GARES B ALPES,"""[{""""TVS_Code"""": """"ANJ""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Aime - La Plagne"""", """"Alias_Libelle_Fronton"""": """"Aime - La Plagne"""", """"AgenceGC_Libelle"""": """"DRG AURA-BFC"""", """"RegionSNCF_Libelle"""": """"REGION ALPES"""", """"UG_Libelle"""": """"UG Alpes"""", """"UT_Libelle"""": """"AIME LA PLAGNE GARE""""}""",Aime - La Plagne,Aime - La Plagne,True,False,DRG AURA-BFC,REGION ALPES,UG Alpes,AIME LA PLAGNE GARE,1,ANJ,"45.5544, 6.648646",wikipedia
2662,00291-1,291,87751404,,Aix-en-Provence,13100.0,1.0,Aix-en-Provence,13.0,Bouches-du-Rhône,5.445345,43.522912,b,1.0,GARES B PROV ALPES,"""[{""""TVS_Code"""": """"AXP""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Aix-en-Provence"""", """"Alias_Libelle_Fronton"""": """"Aix-en-Provence"""", """"AgenceGC_Libelle"""": """"DRG Occitanie Sud"""", """"RegionSNCF_Libelle"""": """"REGION PROVENCE ALPES COTE D'AZUR"""", """"UG_Libelle"""": """"UG Régionale PA"""", """"UT_Libelle"""": """"AIX EN PROVENCE GARE""""}""",Aix-en-Provence,Aix-en-Provence,True,False,DRG Occitanie Sud,REGION PROVENCE ALPES COTE D'AZUR,UG Régionale PA,AIX EN PROVENCE GARE,1,AXP,"43.522912, 5.445345",wikipedia
3011,02207-1,2207,87319012,,Aix-en-Provence TGV,13592.0,1.0,Aix-en-Provence,13.0,Bouches-du-Rhône,5.317534,43.455237,a,3.0,GARE AIX EN PROVENCE TGV,"""[{""""TVS_Code"""": """"AXV""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Aix-en-Provence TGV"""", """"Alias_Libelle_Fronton"""": """"Aix-en-Provence TGV"""", """"AgenceGC_Libelle"""": """"DRG Occitanie Sud"""", """"RegionSNCF_Libelle"""": """"REGION PROVENCE ALPES COTE D'AZUR"""", """"UG_Libelle"""": """"UG LGV PA"""", """"UT_Libelle"""": """"AIX TGV P GARE PLATEAU D ARBOIS""""}""",Aix-en-Provence TGV,Aix-en-Provence TGV,True,False,DRG Occitanie Sud,REGION PROVENCE ALPES COTE D'AZUR,UG LGV PA,AIX TGV P GARE PLATEAU D ARBOIS,1,AXV,"43.455237, 5.317534",intitulé plateforme
1368,00412-1,412,87741132,,Aix-les-Bains le Revard,73100.0,8.0,Aix-les-Bains,73.0,Savoie,5.909371,45.688161,b,2.0,GARES B ALPES,"""[{""""TVS_Code"""": """"AIX""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Aix-les-Bains le Revard"""", """"Alias_Libelle_Fronton"""": """"Aix-les-Bains le Revard"""", """"AgenceGC_Libelle"""": """"DRG AURA-BFC"""", """"RegionSNCF_Libelle"""": """"REGION ALPES"""", """"UG_Libelle"""": """"UG Alpes"""", """"UT_Libelle"""": """"AIX LES BAINS LE REVARD GARE""""}""",Aix-les-Bains le Revard,Aix-les-Bains le Revard,True,False,DRG AURA-BFC,REGION ALPES,UG Alpes,AIX LES BAINS LE REVARD GARE,1,AIX,"45.688161, 5.909371",horaires
1362,00395-1,395,87741645,,Albertville,73200.0,11.0,Albertville,73.0,Savoie,6.383167,45.672977,b,1.0,GARES B ALPES,"""[{""""TVS_Code"""": """"ALV""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Albertville"""", """"Alias_Libelle_Fronton"""": """"Albertville"""", """"AgenceGC_Libelle"""": """"DRG AURA-BFC"""", """"RegionSNCF_Libelle"""": """"REGION ALPES"""", """"UG_Libelle"""": """"UG Alpes"""", """"UT_Libelle"""": """"ALBERTVILLE GARE""""}""",Albertville,Albertville,True,False,DRG AURA-BFC,REGION ALPES,UG Alpes,ALBERTVILLE GARE,1,ALV,"45.672977, 6.383167",wikipedia
963,01625-1,1625,87481192,,Ancenis,44150.0,3.0,Ancenis-Saint-Géréon,44.0,Loire-Atlantique,-1.177763,47.369334,b,2.0,GARES B PAYS DE LA LOIRE,"""[{""""TVS_Code"""": """"ANC""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Ancenis"""", """"Alias_Libelle_Fronton"""": """"Ancenis"""", """"AgenceGC_Libelle"""": """"DRG B-CVL-PDL"""", """"RegionSNCF_Libelle"""": """"REGION PAYS DE LA LOIRE"""", """"UG_Libelle"""": """"UG Pays de la Loire"""", """"UT_Libelle"""": """"ANCENIS GARE""""}""",Ancenis,Ancenis,True,False,DRG B-CVL-PDL,REGION PAYS DE LA LOIRE,UG Pays de la Loire,ANCENIS GARE,1,ANC,"47.369334, -1.177763",wikipedia
2897,01586-1,1586,87484006,,Angers Saint-Laud,49100.0,7.0,Angers,49.0,Maine-et-Loire,-0.55682,47.464647,a,3.0,GARE ANGERS ST LAUD,"""[{""""TVS_Code"""": """"ASL""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Angers Saint-Laud"""", """"Alias_Libelle_Fronton"""": """"Angers Saint-Laud"""", """"AgenceGC_Libelle"""": """"DRG B-CVL-PDL"""", """"RegionSNCF_Libelle"""": """"REGION PAYS DE LA LOIRE"""", """"UG_Libelle"""": """"UG Pays de la Loire"""", """"UT_Libelle"""": """"ANGERS ST LAUD GARE""""}""",Angers Saint-Laud,Angers Saint-Laud,True,False,DRG B-CVL-PDL,REGION PAYS DE LA LOIRE,UG Pays de la Loire,ANGERS ST LAUD GARE,1,ASL,"47.464647, -0.55682",horaires
2839,01256-1,1256,87583005,,Angoulême,16022.0,15.0,Angoulême,16.0,Charente,0.164608,45.653572,a,2.0,GARE ANGOULEME,"""[{""""TVS_Code"""": """"ANG""""}]""",,"""{""""DRG_ON"""": true, """"Etrangere_ON"""": false, """"NbPltf"""": 1, """"Alias_Libelle_NonContraint"""": """"Angoulême"""", """"Alias_Libelle_Fronton"""": """"Angoulême"""", """"AgenceGC_Libelle"""": """"DRG Nlle Aquitaine"""", """"RegionSNCF_Libelle"""": """"REGION POITOU-CHARENTES AQUITAINE"""", """"UG_Libelle"""": """"UG Poitou-Charentes"""", """"UT_Libelle"""": """"ANGOULEME P GARE""""}""",Angoulême,Angoulême,True,False,DRG Nlle Aquitaine,REGION POITOU-CHARENTES AQUITAINE,UG Poitou-Charentes,ANGOULEME P GARE,1,ANG,"45.653572, 0.164608",horaires
